"Motor","Rpm","Kv ","Gearing","One day","three momth  ","15 day","Status","Current","make","7 day ","30 day "
"FD FAN 4A","1485","30","60","0.67","90","10.5",,"89.5","BHEL","4.67","20.1"
"01-12-2022(ASD)"," ","15","60","0.67","90","10.5",,"204"," ","4.67","20.1"
"FD FAN 4B","1485","30","60","0.67","90","10.5",,"204","BHEL","4.67","20.1"
"MILL 4A","986","37","60","0.67","90","10.5",,"204","BHEL","4.67","20.1"
"MILL 4B","986","37","60","0.67","90","10.5",,"27.5","BHEL","4.67","20.1"
"1-12-2022(Motor replaced axial float )"," ","6","60","0.67","90","10.5",,"27.5"," ","4.67","20.1"
"MILL 4C","986","37","60","0.67","90","10.5",,"91.5","BHEL","4.67","20.1"
"MILL 4D","986","37","60","0.67","90","10.5",,"91.5","BHEL","4.67","20.1"
"MILL 4E","986","37","60","0.67","90","10.5",,"84","BHEL","4.67","20.1"
"ID FAN 4A","743","89.5","60","0.67","90","0.67",,"84","BHEL","4.67","20.1"
"01-12-2022(ASD)"," ","19","60","0.67","90","10.5",,"84"," ","4.67","20.1"
"ID FAN 4B","743","89.5","60","0.67","90","10.5",,"23","BHEL","10.5","20.1"
"BFP 4A","1487","204","60","0.67","90","10.5",,"23","KIRLOSKAR","4.67","20.1"
"BFP 4B","1487","204","60","0.67","90","10.5",,"78","KIRLOSKAR","4.67","20.1"
"BFP 4C","1487","204","60","0.67","90","10.5",,"78","KIRLOSKAR","4.67","20.1"
"CEP 4A","1478","27.5","60","0.67","90","10.5",,"30","BHEL","4.67","20.1"
"CEP 4B","1478","27.5","60","0.67","90","10.5",,"30","BHEL","4.67","20.1"
"COMPRESSOR 4A","2979","91.5","60","20.1","90","10.5",,"32","INGERSOLL RAND","4.67","4.67"
"COMPRESSOR 4B","2979","91.5","60","20.1","90","10.5",,"32","INGERSOLL RAND","4.67","20.1"
"CW 4A","594","84","60","0.67","90","10.5",,"32","CG","4.67","20.1"
"CW 4B","594","84","60","0.67","90","10.5",,"32","CG","4.67","4.67"
"CW 4C","594","84","60","0.67","90","10.5",,"32","ABB","4.67","20.1"
"ACW 4A","1483","23","60","0.67","90","0.67",,"89.5","CG","4.67","20.1"
"ACW 4B","1483","23","60","0.67","90","10.5",,"89.5","CG","10.5","20.1"
"PA FAN 5A","1480","78","60","0.67","90","10.5",,"204","BHEL","10.5","20.1"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,," ",,,
